Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
23-02-2021,2435,,,,,,,,
24-02-2021,2579,,,,,,,,
25-02-2021,2207,,,,,,,,
26-02-2021,2979,,,,,,,,
27-02-2021,2568,,,,,,,,
28-02-2021,2953,,,,,,,,
,,,,,,,,,
Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-02-2021,"1,570",3880,1,0,662,276,100,11,300
02-02-2021,"1,272",3545,2,0,880,394,78,37,192
03-02-2021,"1,040",2217,2,0,647,172,88,40,140
04-02-2021,"1,548",3265,3,0,823,120,74,6,100
05-02-2021,"1,244",2529,3,0,884,342,75,38,245
06-02-2021,"1,143",3168,1,0,549,254,94,14,273
07-02-2021,"1,004",3223,1,0,894,180,95,21,310
08-02-2021,"1,457",2789,2,0,580,396,99,29,334
09-02-2021,"1,154",2023,1,0,738,199,77,34,308
10-02-2021,924,2222,4,0,814,126,89,15,288
11-02-2021,"1,172",2207,3,0,572,350,79,1,145
12-02-2021,"1,309",3630,2,0,699,240,89,31,131
13-02-2021,"1,500",2941,3,0,595,259,71,7,336
14-02-2021,"1,241",2358,3,0,840,177,98,22,133
15-02-2021,"1,142",2807,2,0,831,179,73,3,154
16-02-2021,"1,573",3912,3,0,874,171,99,39,149
17-02-2021,"1,134",2336,2,0,816,110,96,28,222
18-02-2021,"1,359",3237,2,0,521,217,90,35,251
19-02-2021,"1,509",2535,2,0,881,245,75,21,301
20-02-2021,"1,190",2081,3,0,882,314,75,26,158
21-02-2021,"1,143",3755,1,0,600,194,95,25,265
22-02-2021,"1,054",2143,2,0,858,109,92,15,313
23-02-2021,"1,295",2737,4,0,733,399,75,40,100
24-02-2021,"1,262",3479,2,0,551,213,84,33,174
25-02-2021,"1,272",2447,4,0,627,144,95,11,321
26-02-2021,"1,251",3757,2,0,885,382,97,16,317
27-02-2021,"1,599",3085,1,0,841,327,85,14,328
28-02-2021,"1,021",3005,3,0,834,300,100,4,199
,,,,,,,,,
Sleep,,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,
,,,,,,,,,
Food Log 20210201,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210202,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210203,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210204,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210205,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210206,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210207,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210208,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210209,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210210,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210211,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210212,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210213,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210214,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210215,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210216,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210217,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210218,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210219,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210220,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210221,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210222,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210223,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210224,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210225,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210226,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210227,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210228,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
